# Testi nuovi o cambiati nella v7. Tipo|chiave|it|en|es|de|fr|pl|pt|ro|ru
# L = contenuto di un controllo, M = messaggio, H = descrizione a comparsa (it|en, oppure tutte e nove le lingue).
M|tool_repair|File di sistema: controllo e riparazione|System files: check and repair|Archivos de sistema: comprobar y reparar|Systemdateien: prüfen und reparieren|Fichiers système : vérifier et réparer|Pliki systemowe: sprawdź i napraw|Arquivos do sistema: verificar e reparar|Fișiere de sistem: verificare și reparare|Системные файлы: проверка и восстановление
M|toolDesc_repair|DISM ripara l'immagine di Windows, poi SFC sistema i file danneggiati. Può richiedere 15-30 minuti.|DISM repairs the Windows image, then SFC fixes damaged files. It can take 15-30 minutes.|DISM repara la imagen de Windows y luego SFC corrige archivos dañados. Puede tardar 15-30 minutos.|DISM repariert das Windows-Abbild, danach behebt SFC beschädigte Dateien. Dauert 15-30 Minuten.|DISM répare l'image Windows, puis SFC corrige les fichiers endommagés. 15 à 30 minutes.|DISM naprawia obraz Windows, potem SFC poprawia uszkodzone pliki. Może trwać 15-30 minut.|O DISM repara a imagem do Windows e o SFC corrige arquivos danificados. Pode levar 15-30 minutos.|DISM repară imaginea Windows, apoi SFC repară fișierele deteriorate. Poate dura 15-30 minute.|DISM восстанавливает образ Windows, затем SFC исправляет файлы. 15-30 минут.
M|toolAsk_repair|Il controllo dura a lungo e usa molto il disco. Puoi continuare a usare il PC. Procedo?|The check takes a while and uses the disk heavily. You can keep using the PC. Go ahead?|La comprobación tarda y usa mucho el disco. Puedes seguir usando el PC. ¿Sigo?|Die Prüfung dauert und belastet die Festplatte. Du kannst weiterarbeiten. Fortfahren?|La vérification est longue et sollicite le disque. Vous pouvez continuer à utiliser le PC. Je continue ?|Sprawdzanie trwa długo i obciąża dysk. Możesz dalej korzystać z PC. Kontynuować?|A verificação demora e usa bastante o disco. Você pode continuar usando o PC. Continuo?|Verificarea durează și solicită discul. Poți folosi PC-ul în continuare. Continui?|Проверка долгая и нагружает диск. Можно продолжать работать. Продолжить?
M|tool_ntp|Orologio: sincronizza l'ora|Clock: sync the time|Reloj: sincronizar la hora|Uhr: Zeit synchronisieren|Horloge : synchroniser l'heure|Zegar: synchronizuj czas|Relógio: sincronizar a hora|Ceas: sincronizează ora|Часы: синхронизировать время
M|toolDesc_ntp|Usa pool.ntp.org e time.windows.com e sincronizza subito.|Uses pool.ntp.org and time.windows.com and syncs right away.|Usa pool.ntp.org y time.windows.com y sincroniza ya.|Nutzt pool.ntp.org und time.windows.com und synchronisiert sofort.|Utilise pool.ntp.org et time.windows.com et synchronise aussitôt.|Używa pool.ntp.org i time.windows.com i synchronizuje od razu.|Usa pool.ntp.org e time.windows.com e sincroniza na hora.|Folosește pool.ntp.org și time.windows.com și sincronizează imediat.|Использует pool.ntp.org и time.windows.com и сразу синхронизирует.
M|tool_winget|winget: riparazione|winget: repair|winget: reparar|winget: reparieren|winget : réparer|winget: napraw|winget: reparar|winget: reparare|winget: восстановление
M|toolDesc_winget|Registra di nuovo il Programma di installazione app e ripristina le origini dei pacchetti.|Re-registers App Installer and resets the package sources.|Vuelve a registrar el Instalador de aplicaciones y restablece los orígenes.|Registriert den App-Installer neu und setzt die Paketquellen zurück.|Réenregistre le Programme d'installation d'application et réinitialise les sources.|Ponownie rejestruje Instalator aplikacji i resetuje źródła pakietów.|Registra de novo o Instalador de Aplicativo e redefine as fontes.|Reînregistrează App Installer și resetează sursele.|Перерегистрирует App Installer и сбрасывает источники.
M|tool_regBackup|Registro: copia di sicurezza giornaliera|Registry: daily backup|Registro: copia diaria|Registry: tägliche Sicherung|Registre : sauvegarde quotidienne|Rejestr: codzienna kopia|Registro: backup diário|Registru: copie zilnică|Реестр: ежедневная копия
M|toolDesc_regBackup|Riattiva la copia automatica del registro in System32\config\RegBack e ne crea subito una.|Re-enables the automatic registry copy in System32\config\RegBack and makes one now.|Reactiva la copia automática del registro en System32\config\RegBack y crea una ahora.|Aktiviert die automatische Registry-Kopie in System32\config\RegBack und erstellt sofort eine.|Réactive la copie automatique du registre dans System32\config\RegBack et en crée une.|Włącza automatyczną kopię rejestru w System32\config\RegBack i tworzy ją teraz.|Reativa a cópia automática do registro em System32\config\RegBack e cria uma agora.|Reactivează copia automată a registrului în System32\config\RegBack și face una acum.|Включает автокопию реестра в System32\config\RegBack и создаёт её сейчас.
M|tool_store|Microsoft Store: svuota la cache|Microsoft Store: clear cache|Microsoft Store: vaciar caché|Microsoft Store: Cache leeren|Microsoft Store : vider le cache|Microsoft Store: wyczyść pamięć|Microsoft Store: limpar cache|Microsoft Store: golește cache-ul|Microsoft Store: очистить кэш
M|toolDesc_store|Per download dello Store bloccati. Al termine lo Store si apre da solo.|For stuck Store downloads. The Store opens by itself when done.|Para descargas atascadas de la Store. Al terminar se abre sola.|Für hängende Store-Downloads. Der Store öffnet sich danach selbst.|Pour les téléchargements bloqués. Le Store s'ouvre à la fin.|Dla zawieszonych pobrań. Po zakończeniu Store otworzy się sam.|Para downloads travados da Store. Ao final ela abre sozinha.|Pentru descărcări blocate. La final Store se deschide singur.|Для зависших загрузок. Магазин откроется сам.
M|tool_explorer|Esplora risorse: riavvia|File Explorer: restart|Explorador: reiniciar|Explorer: neu starten|Explorateur : redémarrer|Eksplorator: uruchom ponownie|Explorador: reiniciar|Explorer: repornire|Проводник: перезапуск
M|toolDesc_explorer|Chiude e riapre barra delle applicazioni, Start e cartelle. Utile se qualcosa è bloccato.|Closes and reopens the taskbar, Start and folders. Useful when something is stuck.|Cierra y reabre la barra, Inicio y carpetas. Útil si algo se bloquea.|Schließt und öffnet Taskleiste, Start und Ordner neu. Hilft bei Hängern.|Ferme et rouvre la barre, Démarrer et les dossiers. Utile si quelque chose bloque.|Zamyka i otwiera pasek, Start i foldery. Pomaga przy zawieszeniach.|Fecha e reabre a barra, Iniciar e pastas. Útil se algo travar.|Închide și redeschide bara, Start și folderele. Util la blocări.|Закрывает и открывает панель, «Пуск» и папки. Помогает при зависаниях.
M|tool_icons|Icone e miniature: ricostruisci|Icons and thumbnails: rebuild|Iconos y miniaturas: reconstruir|Symbole und Miniaturen: neu aufbauen|Icônes et miniatures : reconstruire|Ikony i miniatury: odbuduj|Ícones e miniaturas: reconstruir|Pictograme și miniaturi: reconstruiește|Значки и эскизы: перестроить
M|toolDesc_icons|Per icone vuote o sbagliate. Esplora risorse si riavvia.|For blank or wrong icons. File Explorer restarts.|Para iconos vacíos o erróneos. El Explorador se reinicia.|Für leere oder falsche Symbole. Explorer startet neu.|Pour les icônes vides ou erronées. L'Explorateur redémarre.|Dla pustych lub błędnych ikon. Eksplorator uruchomi się ponownie.|Para ícones vazios ou errados. O Explorador reinicia.|Pentru pictograme goale sau greșite. Explorer repornește.|Для пустых или неверных значков. Проводник перезапустится.
M|toolAsk_icons|Le finestre di Esplora file aperte verranno chiuse. Procedo?|Open File Explorer windows will be closed. Go ahead?|Se cerrarán las ventanas del Explorador abiertas. ¿Sigo?|Offene Explorer-Fenster werden geschlossen. Fortfahren?|Les fenêtres de l'Explorateur ouvertes seront fermées. Je continue ?|Otwarte okna Eksploratora zostaną zamknięte. Kontynuować?|As janelas abertas do Explorador serão fechadas. Continuo?|Ferestrele Explorer deschise vor fi închise. Continui?|Открытые окна Проводника будут закрыты. Продолжить?
M|ttlFeatures|Funzionalità di Windows|Windows features|Características de Windows|Windows-Features|Fonctionnalités de Windows|Funkcje systemu Windows|Recursos do Windows|Caracteristici Windows|Компоненты Windows
M|featHint|Quelle già attive sono segnate con «Attivo». L'attivazione scarica i file da Windows Update e di solito chiede un riavvio.|The ones already active are marked «Active». Enabling downloads files from Windows Update and usually needs a restart.|Las ya activas están marcadas como «Activo». Activarlas descarga archivos de Windows Update y suele pedir reiniciar.|Bereits aktive sind mit «Aktiv» markiert. Das Aktivieren lädt Dateien von Windows Update und erfordert meist einen Neustart.|Celles déjà actives sont marquées «Actif». L'activation télécharge depuis Windows Update et demande souvent un redémarrage.|Aktywne są oznaczone jako «Aktywne». Włączenie pobiera pliki z Windows Update i zwykle wymaga restartu.|As já ativas estão marcadas como «Ativo». Ativar baixa arquivos do Windows Update e costuma pedir reinício.|Cele active sunt marcate «Activ». Activarea descarcă fișiere din Windows Update și de obicei cere repornire.|Уже включённые отмечены «Активно». Включение загружает файлы из Windows Update и обычно требует перезагрузки.
M|featRun|Attiva selezionate|Enable selected|Activar seleccionadas|Ausgewählte aktivieren|Activer la sélection|Włącz zaznaczone|Ativar selecionados|Activează selectate|Включить выбранные
M|featAsk|Attivo {0} funzionalità con DISM. Procedo?|I'll enable {0} features with DISM. Go ahead?|Activo {0} características con DISM. ¿Sigo?|Ich aktiviere {0} Features mit DISM. Fortfahren?|J'active {0} fonctionnalités avec DISM. Je continue ?|Włączę {0} funkcji przez DISM. Kontynuować?|Vou ativar {0} recursos com o DISM. Continuo?|Activez {0} caracteristici cu DISM. Continui?|Включу {0} компонентов через DISM. Продолжить?
M|featMissing|Non disponibile in questa edizione di Windows.|Not available in this edition of Windows.|No disponible en esta edición de Windows.|In dieser Windows-Edition nicht verfügbar.|Non disponible dans cette édition de Windows.|Niedostępne w tej edycji Windows.|Indisponível nesta edição do Windows.|Indisponibil în această ediție Windows.|Недоступно в этой редакции Windows.
M|feat_netfx|.NET Framework 3.5 e servizi avanzati 4.x|.NET Framework 3.5 and 4.x advanced services|.NET Framework 3.5 y servicios avanzados 4.x|.NET Framework 3.5 und erweiterte 4.x-Dienste|.NET Framework 3.5 et services avancés 4.x|.NET Framework 3.5 i usługi zaawansowane 4.x|.NET Framework 3.5 e serviços avançados 4.x|.NET Framework 3.5 și servicii avansate 4.x|.NET Framework 3.5 и расширенные службы 4.x
M|feat_hyperv|Hyper-V|Hyper-V|Hyper-V|Hyper-V|Hyper-V|Hyper-V|Hyper-V|Hyper-V|Hyper-V
M|feat_sandbox|Sandbox di Windows|Windows Sandbox|Espacio aislado de Windows|Windows-Sandbox|Bac à sable Windows|Piaskownica systemu Windows|Área Restrita do Windows|Sandbox Windows|Песочница Windows
M|feat_wsl|Sottosistema Windows per Linux (WSL)|Windows Subsystem for Linux (WSL)|Subsistema de Windows para Linux (WSL)|Windows-Subsystem für Linux (WSL)|Sous-système Windows pour Linux (WSL)|Podsystem Windows dla systemu Linux (WSL)|Subsistema do Windows para Linux (WSL)|Subsistem Windows pentru Linux (WSL)|Подсистема Windows для Linux (WSL)
M|feat_media|Componenti multimediali legacy (Windows Media Player, DirectPlay)|Legacy media components (Windows Media Player, DirectPlay)|Componentes multimedia heredados (Windows Media Player, DirectPlay)|Ältere Medienkomponenten (Windows Media Player, DirectPlay)|Composants multimédias hérités (Windows Media Player, DirectPlay)|Starsze składniki multimediów (Windows Media Player, DirectPlay)|Componentes de mídia herdados (Windows Media Player, DirectPlay)|Componente media vechi (Windows Media Player, DirectPlay)|Устаревшие мультимедиа (Windows Media Player, DirectPlay)
M|feat_nfs|Client NFS|NFS client|Cliente NFS|NFS-Client|Client NFS|Klient NFS|Cliente NFS|Client NFS|Клиент NFS
M|featTip_netfx|Serve a programmi e giochi meno recenti.|Needed by older programs and games.|Lo necesitan programas y juegos antiguos.|Für ältere Programme und Spiele.|Requis par les anciens programmes et jeux.|Potrzebne starszym programom i grom.|Necessário para programas e jogos antigos.|Necesar programelor și jocurilor mai vechi.|Нужен старым программам и играм.
M|featTip_hyperv|Macchine virtuali con Hyper-V. Solo edizioni Pro, Enterprise ed Education.|Virtual machines with Hyper-V. Pro, Enterprise and Education only.|Máquinas virtuales con Hyper-V. Solo Pro, Enterprise y Education.|Virtuelle Maschinen mit Hyper-V. Nur Pro, Enterprise und Education.|Machines virtuelles Hyper-V. Pro, Enterprise et Education uniquement.|Maszyny wirtualne Hyper-V. Tylko Pro, Enterprise i Education.|Máquinas virtuais com Hyper-V. Só Pro, Enterprise e Education.|Mașini virtuale Hyper-V. Doar Pro, Enterprise și Education.|Виртуальные машины Hyper-V. Только Pro, Enterprise, Education.
M|featTip_sandbox|Un Windows usa e getta per provare programmi sospetti. Solo edizioni Pro ed Enterprise.|A disposable Windows to try suspicious programs. Pro and Enterprise only.|Un Windows desechable para probar programas dudosos. Solo Pro y Enterprise.|Ein Wegwerf-Windows zum Testen verdächtiger Programme. Nur Pro und Enterprise.|Un Windows jetable pour tester des programmes suspects. Pro et Enterprise uniquement.|Jednorazowy Windows do testów podejrzanych programów. Tylko Pro i Enterprise.|Um Windows descartável para testar programas suspeitos. Só Pro e Enterprise.|Un Windows de unică folosință pentru programe suspecte. Doar Pro și Enterprise.|Одноразовая Windows для проверки программ. Только Pro и Enterprise.
M|featTip_wsl|Distribuzioni Linux dentro Windows.|Linux distributions inside Windows.|Distribuciones Linux dentro de Windows.|Linux-Distributionen in Windows.|Distributions Linux dans Windows.|Dystrybucje Linuksa w Windows.|Distribuições Linux dentro do Windows.|Distribuții Linux în Windows.|Дистрибутивы Linux внутри Windows.
M|featTip_media|Per giochi e programmi vecchi che richiedono DirectPlay o Windows Media Player.|For old games and programs that need DirectPlay or Windows Media Player.|Para juegos y programas antiguos que requieren DirectPlay o Windows Media Player.|Für alte Spiele und Programme mit DirectPlay oder Windows Media Player.|Pour les anciens jeux et programmes qui exigent DirectPlay ou Windows Media Player.|Dla starych gier i programów wymagających DirectPlay lub Windows Media Player.|Para jogos e programas antigos que exigem DirectPlay ou Windows Media Player.|Pentru jocuri și programe vechi care cer DirectPlay sau Windows Media Player.|Для старых игр и программ с DirectPlay или Windows Media Player.
M|featTip_nfs|Accesso alle cartelle condivise NFS di NAS e server Linux.|Access to NFS shares on NAS and Linux servers.|Acceso a recursos NFS de NAS y servidores Linux.|Zugriff auf NFS-Freigaben von NAS und Linux-Servern.|Accès aux partages NFS des NAS et serveurs Linux.|Dostęp do udziałów NFS na NAS i serwerach Linux.|Acesso a compartilhamentos NFS de NAS e servidores Linux.|Acces la partajări NFS de pe NAS și servere Linux.|Доступ к ресурсам NFS на NAS и серверах Linux.
M|oosuHint|Lo strumento di privacy di O&O, gratuito e senza installazione. Si scarica dal sito ufficiale in una cartella del programma, se ne controlla la firma digitale e si apre.|O&O's free privacy tool, no install needed. It is downloaded from the official site into a program folder, its digital signature is checked and it opens.|La herramienta de privacidad gratuita de O&O, sin instalación. Se descarga del sitio oficial a una carpeta del programa, se comprueba su firma y se abre.|Das kostenlose Datenschutz-Tool von O&O, ohne Installation. Es wird von der offiziellen Seite in einen Programmordner geladen, die Signatur geprüft und geöffnet.|L'outil de confidentialité gratuit d'O&O, sans installation. Il est téléchargé depuis le site officiel dans un dossier du programme, sa signature est vérifiée puis il s'ouvre.|Darmowe narzędzie prywatności O&O, bez instalacji. Pobierane z oficjalnej strony do folderu programu, z weryfikacją podpisu, potem otwierane.|A ferramenta de privacidade gratuita da O&O, sem instalação. É baixada do site oficial para uma pasta do programa, a assinatura é verificada e ela abre.|Instrumentul gratuit de confidențialitate O&O, fără instalare. Se descarcă de pe site-ul oficial într-un folder al programului, se verifică semnătura și se deschide.|Бесплатный инструмент приватности O&O без установки. Скачивается с официального сайта в папку программы, подпись проверяется, затем он открывается.
M|oosuRun|Scarica e apri|Download and open|Descargar y abrir|Herunterladen und öffnen|Télécharger et ouvrir|Pobierz i otwórz|Baixar e abrir|Descarcă și deschide|Скачать и открыть
M|oosuAsk|Scarico O&O ShutUp10++ da oo-software.com (circa 3 MB) e lo apro. Procedo?|I'll download O&O ShutUp10++ from oo-software.com (about 3 MB) and open it. Go ahead?|Descargo O&O ShutUp10++ de oo-software.com (unos 3 MB) y lo abro. ¿Sigo?|Ich lade O&O ShutUp10++ von oo-software.com (ca. 3 MB) und öffne es. Fortfahren?|Je télécharge O&O ShutUp10++ depuis oo-software.com (environ 3 Mo) et je l'ouvre. Je continue ?|Pobiorę O&O ShutUp10++ z oo-software.com (ok. 3 MB) i otworzę. Kontynuować?|Vou baixar o O&O ShutUp10++ de oo-software.com (cerca de 3 MB) e abri-lo. Continuo?|Descarc O&O ShutUp10++ de pe oo-software.com (circa 3 MB) și îl deschid. Continui?|Скачаю O&O ShutUp10++ с oo-software.com (около 3 МБ) и открою. Продолжить?
M|ttlPanels|Pannelli di Windows|Windows panels|Paneles de Windows|Windows-Systemsteuerungen|Panneaux Windows|Panele systemu Windows|Painéis do Windows|Panouri Windows|Панели Windows
M|panelsHint|Le finestre classiche delle impostazioni, a un clic.|The classic settings windows, one click away.|Las ventanas clásicas de configuración, a un clic.|Die klassischen Einstellungsfenster mit einem Klick.|Les fenêtres de réglages classiques, en un clic.|Klasyczne okna ustawień jednym kliknięciem.|As janelas clássicas de configuração, a um clique.|Ferestrele clasice de setări, la un clic.|Классические окна настроек в один щелчок.
M|panel_control|Pannello di controllo|Control Panel|Panel de control|Systemsteuerung|Panneau de configuration|Panel sterowania|Painel de Controle|Panou de control|Панель управления
M|panel_compmgmt|Gestione computer|Computer Management|Administración de equipos|Computerverwaltung|Gestion de l'ordinateur|Zarządzanie komputerem|Gerenciamento do Computador|Gestionare computer|Управление компьютером
M|panel_devmgmt|Gestione dispositivi|Device Manager|Administrador de dispositivos|Geräte-Manager|Gestionnaire de périphériques|Menedżer urządzeń|Gerenciador de Dispositivos|Manager dispozitive|Диспетчер устройств
M|panel_diskmgmt|Gestione disco|Disk Management|Administración de discos|Datenträgerverwaltung|Gestion des disques|Zarządzanie dyskami|Gerenciamento de Disco|Gestionare disc|Управление дисками
M|panel_services|Servizi|Services|Servicios|Dienste|Services|Usługi|Serviços|Servicii|Службы
M|panel_eventvwr|Visualizzatore eventi|Event Viewer|Visor de eventos|Ereignisanzeige|Observateur d'événements|Podgląd zdarzeń|Visualizador de Eventos|Vizualizator evenimente|Просмотр событий
M|panel_appwiz|Programmi e funzionalità|Programs and Features|Programas y características|Programme und Features|Programmes et fonctionnalités|Programy i funkcje|Programas e Recursos|Programe și caracteristici|Программы и компоненты
M|panel_ncpa|Connessioni di rete|Network Connections|Conexiones de red|Netzwerkverbindungen|Connexions réseau|Połączenia sieciowe|Conexões de Rede|Conexiuni de rețea|Сетевые подключения
M|panel_powercfg|Opzioni risparmio energia|Power Options|Opciones de energía|Energieoptionen|Options d'alimentation|Opcje zasilania|Opções de Energia|Opțiuni de alimentare|Электропитание
M|panel_printers|Stampanti|Printers|Impresoras|Drucker|Imprimantes|Drukarki|Impressoras|Imprimante|Принтеры
M|panel_mouse|Mouse|Mouse|Mouse|Maus|Souris|Mysz|Mouse|Mouse|Мышь
M|panel_sound|Audio|Sound|Sonido|Sound|Son|Dźwięk|Som|Sunet|Звук
M|panel_sysdm|Proprietà del sistema|System Properties|Propiedades del sistema|Systemeigenschaften|Propriétés système|Właściwości systemu|Propriedades do Sistema|Proprietăți sistem|Свойства системы
M|panel_region|Area geografica|Region|Región|Region|Région|Region|Região|Regiune|Регион
M|panel_time|Data e ora|Date and Time|Fecha y hora|Datum und Uhrzeit|Date et heure|Data i godzina|Data e Hora|Dată și oră|Дата и время
M|panel_security|Sicurezza e manutenzione|Security and Maintenance|Seguridad y mantenimiento|Sicherheit und Wartung|Sécurité et maintenance|Zabezpieczenia i konserwacja|Segurança e Manutenção|Securitate și întreținere|Безопасность и обслуживание
M|panel_firewall|Windows Defender Firewall|Windows Defender Firewall|Firewall de Windows Defender|Windows Defender Firewall|Pare-feu Windows Defender|Zapora Windows Defender|Firewall do Windows Defender|Paravan Windows Defender|Брандмауэр Защитника Windows
M|panel_restore|Ripristino configurazione di sistema|System Restore|Restaurar sistema|Systemwiederherstellung|Restauration du système|Przywracanie systemu|Restauração do Sistema|Restaurare sistem|Восстановление системы
M|wu_recommended|Consigliato|Recommended|Recomendado|Empfohlen|Recommandé|Zalecany|Recomendado|Recomandat|Рекомендуемый
M|wu_default|Predefinito di Windows|Windows default|Predeterminado de Windows|Windows-Standard|Par défaut de Windows|Domyślny Windows|Padrão do Windows|Implicit Windows|По умолчанию Windows
M|wu_disable|Aggiornamenti spenti|Updates off|Actualizaciones desactivadas|Updates aus|Mises à jour désactivées|Aktualizacje wyłączone|Atualizações desligadas|Actualizări oprite|Обновления отключены
M|wu_custom|Personalizzato|Custom|Personalizado|Benutzerdefiniert|Personnalisé|Niestandardowy|Personalizado|Personalizat|Пользовательский
M|wuSub_recommended|Sicurezza e stabilità insieme|Security and stability together|Seguridad y estabilidad juntas|Sicherheit und Stabilität zusammen|Sécurité et stabilité ensemble|Bezpieczeństwo i stabilność razem|Segurança e estabilidade juntas|Securitate și stabilitate împreună|Безопасность и стабильность вместе
M|wuSub_default|Il controllo torna a Windows|Control goes back to Windows|El control vuelve a Windows|Die Kontrolle geht an Windows zurück|Le contrôle revient à Windows|Kontrola wraca do Windows|O controle volta ao Windows|Controlul revine la Windows|Управление возвращается Windows
M|wuSub_disable|Solo per usi particolari: niente aggiornamenti di sicurezza|For special uses only: no security updates|Solo para usos especiales: sin actualizaciones de seguridad|Nur für Sonderfälle: keine Sicherheitsupdates|Pour usages particuliers : pas de mises à jour de sécurité|Tylko do zastosowań specjalnych: brak aktualizacji zabezpieczeń|Só para usos especiais: sem atualizações de segurança|Doar pentru utilizări speciale: fără actualizări de securitate|Только для особых случаев: без обновлений безопасности
M|wuList_recommended|Nuove versioni di Windows rinviate di 365 giorni;Aggiornamenti mensili rinviati di 4 giorni;Driver esclusi da Windows Update;Nessun riavvio automatico con un utente collegato|New Windows versions deferred by 365 days;Monthly updates deferred by 4 days;Drivers excluded from Windows Update;No automatic restart while a user is signed in|Nuevas versiones de Windows aplazadas 365 días;Actualizaciones mensuales aplazadas 4 días;Controladores excluidos de Windows Update;Sin reinicio automático con un usuario conectado|Neue Windows-Versionen um 365 Tage verschoben;Monatliche Updates um 4 Tage verschoben;Treiber von Windows Update ausgeschlossen;Kein automatischer Neustart bei angemeldetem Benutzer|Nouvelles versions de Windows reportées de 365 jours;Mises à jour mensuelles reportées de 4 jours;Pilotes exclus de Windows Update;Aucun redémarrage automatique avec un utilisateur connecté|Nowe wersje Windows odłożone o 365 dni;Aktualizacje miesięczne odłożone o 4 dni;Sterowniki wykluczone z Windows Update;Bez automatycznego restartu przy zalogowanym użytkowniku|Novas versões do Windows adiadas em 365 dias;Atualizações mensais adiadas em 4 dias;Drivers excluídos do Windows Update;Sem reinício automático com usuário conectado|Versiuni noi Windows amânate 365 de zile;Actualizări lunare amânate 4 zile;Drivere excluse din Windows Update;Fără repornire automată cu utilizator conectat|Новые версии Windows откладываются на 365 дней;Ежемесячные обновления на 4 дня;Драйверы исключены из Windows Update;Без автоперезагрузки при вошедшем пользователе
M|wuList_default|Toglie i criteri di Windows Update impostati;Rimette i servizi di aggiornamento come in origine;Riattiva le attività pianificate degli aggiornamenti|Removes the Windows Update policies that were set;Restores the update services to their original state;Re-enables the scheduled update tasks|Quita las directivas de Windows Update aplicadas;Devuelve los servicios de actualización a su estado original;Reactiva las tareas programadas de actualización|Entfernt gesetzte Windows-Update-Richtlinien;Stellt die Update-Dienste wieder her;Aktiviert die geplanten Update-Aufgaben wieder|Retire les stratégies Windows Update définies;Rétablit les services de mise à jour d'origine;Réactive les tâches planifiées de mise à jour|Usuwa ustawione zasady Windows Update;Przywraca pierwotne usługi aktualizacji;Włącza zaplanowane zadania aktualizacji|Remove as políticas do Windows Update definidas;Restaura os serviços de atualização originais;Reativa as tarefas agendadas de atualização|Elimină politicile Windows Update setate;Readuce serviciile de actualizare la original;Reactivează sarcinile programate de actualizare|Удаляет заданные политики Windows Update;Возвращает исходные службы обновления;Снова включает задания обновления
M|wuList_disable|Aggiornamenti automatici spenti;Servizi e attività di aggiornamento fermi;Aggiornamenti già scaricati eliminati|Automatic updates off;Update services and tasks stopped;Downloaded updates deleted|Actualizaciones automáticas desactivadas;Servicios y tareas de actualización detenidos;Actualizaciones descargadas eliminadas|Automatische Updates aus;Update-Dienste und -Aufgaben gestoppt;Heruntergeladene Updates gelöscht|Mises à jour automatiques désactivées;Services et tâches de mise à jour arrêtés;Mises à jour téléchargées supprimées|Automatyczne aktualizacje wyłączone;Usługi i zadania aktualizacji zatrzymane;Pobrane aktualizacje usunięte|Atualizações automáticas desligadas;Serviços e tarefas de atualização parados;Atualizações baixadas apagadas|Actualizări automate oprite;Servicii și sarcini de actualizare oprite;Actualizări descărcate șterse|Автообновления отключены;Службы и задания обновления остановлены;Загруженные обновления удалены
M|pn_ultimate|Prestazioni eccellenti (Ultimate Performance)|Ultimate Performance|Máximo rendimiento (Ultimate Performance)|Ultimative Leistung (Ultimate Performance)|Performances optimales (Ultimate Performance)|Najwyższa wydajność (Ultimate Performance)|Desempenho máximo (Ultimate Performance)|Performanță maximă (Ultimate Performance)|Максимальная производительность (Ultimate Performance)
M|pn_high|Prestazioni elevate|High performance|Alto rendimiento|Höchstleistung|Performances élevées|Wysoka wydajność|Alto desempenho|Performanță ridicată|Высокая производительность
M|pn_balanced|Bilanciato|Balanced|Equilibrado|Ausbalanciert|Utilisation normale|Zrównoważony|Equilibrado|Echilibrat|Сбалансированная
M|pn_saver|Risparmio energia|Power saver|Economizador|Energiesparmodus|Économie d'énergie|Oszczędzanie energii|Economia de energia|Economisire energie|Экономия энергии
M|pd_ultimate|Piano nascosto di Windows: nessun risparmio energetico, latenza minima.|Hidden Windows plan: no power saving, minimum latency.|Plan oculto de Windows: sin ahorro de energía, latencia mínima.|Versteckter Windows-Plan: kein Energiesparen, minimale Latenz.|Mode caché de Windows : aucune économie d'énergie, latence minimale.|Ukryty plan Windows: bez oszczędzania energii, minimalne opóźnienia.|Plano oculto do Windows: sem economia de energia, latência mínima.|Plan ascuns Windows: fără economisire, latență minimă.|Скрытая схема Windows: без энергосбережения, минимальная задержка.
M|pd_bitsum|Piano di Bitsum (Process Lasso): prestazioni CPU costanti.|Bitsum plan (Process Lasso): steady CPU performance.|Plan de Bitsum (Process Lasso): rendimiento de CPU constante.|Plan von Bitsum (Process Lasso): konstante CPU-Leistung.|Mode de Bitsum (Process Lasso) : performances CPU constantes.|Plan Bitsum (Process Lasso): stała wydajność CPU.|Plano da Bitsum (Process Lasso): desempenho de CPU constante.|Plan Bitsum (Process Lasso): performanță CPU constantă.|Схема Bitsum (Process Lasso): стабильная производительность ЦП.
M|pd_high|Piano standard di Windows ad alte prestazioni.|Standard Windows high performance plan.|Plan estándar de Windows de alto rendimiento.|Standardplan von Windows für hohe Leistung.|Mode standard de Windows à hautes performances.|Standardowy plan Windows o wysokiej wydajności.|Plano padrão do Windows de alto desempenho.|Plan standard Windows de performanță ridicată.|Стандартная схема Windows с высокой производительностью.
M|pd_balanced|Piano predefinito di Windows. Usalo per tornare indietro.|Default Windows plan. Use it to go back.|Plan predeterminado de Windows. Úsalo para volver atrás.|Standardplan von Windows. Damit kehrst du zurück.|Mode par défaut de Windows. Utilisez-le pour revenir en arrière.|Domyślny plan Windows. Użyj go, aby wrócić.|Plano padrão do Windows. Use-o para voltar atrás.|Planul implicit Windows. Folosește-l pentru a reveni.|Схема Windows по умолчанию. Используйте её для возврата.
M|pd_saver|Consumi minimi, prestazioni ridotte.|Minimum power use, reduced performance.|Consumo mínimo, rendimiento reducido.|Minimaler Verbrauch, reduzierte Leistung.|Consommation minimale, performances réduites.|Minimalne zużycie, ograniczona wydajność.|Consumo mínimo, desempenho reduzido.|Consum minim, performanță redusă.|Минимальное потребление, сниженная производительность.
M|pd_adamx|Favorisce le prestazioni sul risparmio energetico.|Favors performance over power saving.|Prioriza el rendimiento sobre el ahorro de energía.|Bevorzugt Leistung vor Energiesparen.|Privilégie les performances sur l'économie d'énergie.|Stawia wydajność ponad oszczędzanie energii.|Prioriza o desempenho sobre a economia de energia.|Favorizează performanța în locul economisirii.|Ставит производительность выше энергосбережения.
